ID;Precio;Barrio;Ciudad;Mapa ubicacion;Latitud;Longitud;Ambientes;Metros²;Tipo_propiedad;Amoblado;Antigüedad;Baños;Cochera;Mascotas_permitidas;Expensas_incluidas;Fecha_publicacion;Fecha_relevamiento;Fuentes;Id_publicacion
117;1.100.000;Chacra IV;rio grande;Barrio Chacra IV;null;null;4;90;Casa;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat157
118;1.350.000;Chacra II;rio grande;Chacra II;null;null;5;120;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat158
119;2.000.000;Mutual;rio grande;Barrio Mutual;null;null;5;200;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat159
120;2.400.000;Barrancas;rio grande;Barrio Barrancas;null;null;7;190;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat160
121;1.500.000;Profesionales;rio grande;Barrio Profesionales;null;null;5;140;Departamento;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat161
122;1.500.000;Centro;rio grande;Zona Centro;null;null;4;200;Casa;Sí;3;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat162
123; $620,00;Malvinas Argentinas;rio grande;Chacra XIII;null;null;3;55;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat163
124; $670,00;Centro;rio grande;Belgrano 650;null;null;2;48;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat164
125; $740,00;Centro;rio grande;Rosales 430;null;null;3;58;Departamento;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat165
126; $920,00;Chacra II;rio grande;Chacra II;null;null;4;95;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat166
127;1.050.000;Buena Vista;rio grande;Buena Vista;null;null;4;118;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat167
